Date,Linalg norm
2020/05/17/20/57/30,0.4556927332969711
2020/05/17/20/57/31,0.42445570710341657
2020/05/17/20/57/31,0.4221706355594169
2020/05/17/20/57/31,0.4042258609184522
2020/05/17/20/57/32,0.42522247495149706
2020/05/17/20/57/32,0.4040080376403739
2020/05/17/20/57/33,0.3722098794836324
2020/05/17/20/57/33,0.4274680118752911
2020/05/17/20/57/34,0.4458751655898153
2020/05/17/20/57/34,0.4182127760585188
2020/05/17/20/57/35,0.3950036142196977
2020/05/17/20/57/35,0.3717978202859722
2020/05/17/20/57/36,0.3629079466027008
2020/05/17/20/57/36,0.5837713628721128
2020/05/17/20/57/37,0.3924749958306534
2020/05/18/11/14/57,0.4300216739338355
2020/05/18/11/14/58,0.3988130845488424
2020/05/18/11/14/59,0.4240897243686474
2020/05/18/11/14/59,0.37284946756100135
2020/05/18/11/15/02,0.35679353023173416
2020/05/18/11/15/05,0.3625183113711277
2020/05/18/11/15/05,0.4016036883515494
2020/05/18/11/15/05,0.4300318443304727
2020/05/18/11/15/06,0.4163736059359149
2020/05/18/11/15/06,0.4131689550970169
2020/05/18/11/15/07,0.4077139856317622
2020/05/18/11/15/07,0.42088933685623015
2020/05/18/11/15/08,0.4270233196214279
2020/05/18/11/15/08,0.4154840723630257
2020/05/18/11/15/09,0.426791826516314
2020/05/18/11/15/09,0.424306847294026
2020/05/18/11/15/10,0.4109900522765403
2020/05/18/11/15/10,0.3945734520862581
2020/05/18/11/15/11,0.40909356696321997
2020/05/18/11/25/37,0.42440188484996977
2020/05/18/11/25/55,0.4347901584041345
2020/05/18/11/28/14,0.41591987412400655
2020/05/18/11/28/14,0.4030228285558923
2020/05/18/11/28/15,0.42899518224836586
2020/05/18/11/28/16,0.420981479459119
2020/05/18/11/28/16,0.4617237561468975
2020/05/18/11/28/21,0.4022770013916677
2020/05/18/11/28/22,0.3701281549354348
2020/05/18/11/28/22,0.3930019918933642
2020/05/18/11/28/23,0.3649471505160399
2020/05/18/11/28/23,0.3779754063945317
2020/05/18/11/28/24,0.36529529047855935
2020/05/18/11/28/29,0.37709929939563797
2020/05/18/11/28/29,0.3756591163250114
2020/05/18/11/28/30,0.3550498106115673
2020/05/18/11/28/30,0.313639411196404
2020/05/18/11/28/31,0.3371140034983285
2020/05/18/11/28/32,0.31715377328826433
2020/05/18/11/28/32,0.33362509167681137
2020/05/18/11/57/35,0.4645580771896544
2020/05/18/12/07/47,0.4516726336320534
2020/05/18/12/08/44,0.4860511368269897
2020/05/18/12/09/22,0.4120998148303505
2020/05/18/12/09/23,0.43255773440271067
2020/05/18/12/09/23,0.4554058412013574
2020/05/18/12/09/24,0.4333380639463069
2020/05/18/12/09/25,0.4569505055095565
2020/05/18/12/09/25,0.4242611562742434
2020/05/18/12/09/26,0.4431503971544729
2020/05/18/12/09/27,0.4319459289970132
2020/05/18/12/09/28,0.4032149614399615
2020/05/18/12/09/29,0.3975602991328426
2020/05/18/12/09/30,0.37097258291179297
2020/05/18/12/09/30,0.3875697561421044
2020/05/18/12/09/31,0.3965005279317863
2020/05/18/12/09/32,0.3852369180756608
2020/05/18/12/09/33,0.4627071079862313
2020/05/18/12/09/33,0.3964681055763054
2020/05/18/12/09/34,0.3907094928535153
2020/05/18/12/09/35,0.4429644034735303
2020/05/18/12/09/36,0.3819991074076888
2020/05/18/12/09/36,0.3921130038709198
2020/05/18/12/09/37,0.3690070349771005
2020/05/18/12/09/38,0.3686351299566334
2020/05/18/12/09/39,0.3817219911729516
2020/05/18/12/09/39,0.3743558635729394
2020/05/18/12/09/40,0.37727437806663067
2020/05/18/12/09/41,0.3862149182602445
2020/05/18/12/09/42,0.3889125786022121
2020/05/18/12/09/42,0.4627520462881714
2020/05/18/12/09/43,0.4692749184684653
2020/05/18/12/09/44,0.3985913840919017
2020/05/18/12/09/44,0.3989446290574749
2020/05/18/12/09/45,0.4078842054661061
2020/05/18/12/09/46,0.4105794659180263
2020/05/18/12/09/47,0.3890159722634213
2020/05/18/12/09/47,0.3788166453094095
2020/05/18/12/09/48,0.3993055090740888
2020/05/18/12/09/49,0.3816877614202111
2020/05/18/12/13/17,0.4107857990920311
2020/05/18/12/13/55,0.42865377561227375
2020/05/18/12/13/55,0.3574161985123285
2020/05/18/12/13/56,0.3806972723342441
2020/05/18/12/13/56,0.3760339495622961
2020/05/18/12/13/57,0.35802907409977225
2020/05/18/12/13/57,0.3838499545535175
2020/05/18/12/13/58,0.3951110286766817
2020/05/18/12/14/03,0.3936155079876727
2020/05/18/12/14/04,0.3695920311903221
2020/05/18/12/14/04,0.36744982825581335
2020/05/18/12/14/06,0.3744391758099426
2020/05/18/12/14/06,0.3648141249231806
2020/05/18/12/14/07,0.356416284003366
2020/05/18/12/14/07,0.3751984684575258
2020/05/18/12/14/08,0.3770111790352113
2020/05/18/12/14/08,0.3878629248676875
2020/05/18/12/14/09,0.3774864232737219
2020/05/18/12/14/10,0.3673511610870919
2020/05/18/12/14/12,0.3428862414839766
2020/05/18/12/14/14,0.4837424706594943
2020/05/18/12/14/17,0.4108134593860221
2020/05/18/12/14/17,0.3931148259186348
2020/05/18/12/14/18,0.3740987645134216
2020/05/18/12/14/19,0.3684174530443529
2020/05/18/12/14/22,0.3521988133084429
2020/05/18/12/14/23,0.36590840103510935
2020/05/18/12/14/24,0.3389348217175391
2020/05/18/12/14/25,0.3540344006862257
2020/05/18/12/14/25,0.35782531929435824
2020/05/18/12/14/26,0.3991635080293978
2020/05/18/12/14/26,0.3838130767458222
2020/05/18/12/14/27,0.3985228779801563
2020/05/18/12/14/27,0.37069729187783296
2020/05/18/12/14/28,0.3852054562560197
2020/05/18/12/14/28,0.3822049393668157
2020/05/18/12/14/29,0.3771793257318257
2020/05/18/12/14/29,0.40329265627761135
2020/05/18/12/14/30,0.41037225230723134
2020/05/18/12/14/30,0.38313679264415496
2020/05/18/12/14/30,0.3934006706691355
2020/05/18/12/14/31,0.3905472571408132
2020/05/18/12/14/31,0.3838190672146713
2020/05/18/12/14/33,0.4728002999308764
2020/05/18/12/14/34,0.4026757930606064
2020/05/18/12/14/34,0.37026447542364427
2020/05/18/12/14/34,0.38172968293820736
2020/05/18/12/14/35,0.3821278526484215
2020/05/18/12/14/35,0.3703604585121051
2020/05/18/12/14/36,0.3719560887594484
2020/05/18/12/14/36,0.37489554589280816
2020/05/18/12/14/37,0.3725782168475471
2020/05/18/12/14/37,0.3584869938829628
2020/05/18/12/14/38,0.3708295308088594
2020/05/18/12/14/38,0.3764476815307094
2020/05/18/12/14/39,0.3686461424378119
2020/05/18/12/14/40,0.424623857773661
2020/05/18/12/14/40,0.4341711254344249
2020/05/18/12/14/41,0.3837165189330318
2020/05/18/12/14/41,0.3764730297425985
2020/05/18/12/14/42,0.3864036568332813
2020/05/18/12/14/42,0.36638275776033336
2020/05/18/12/14/43,0.3932574575436559
2020/05/18/12/14/43,0.3797010388693498
2020/05/18/12/14/44,0.3672529737644146
2020/05/18/12/14/44,0.371640164540449
2020/05/18/12/14/44,0.3868213404388396
2020/05/18/12/14/45,0.36726254907790495
2020/05/18/12/14/45,0.3961127855571085
2020/05/18/12/14/46,0.3786501772589261
2020/05/18/12/14/46,0.381387354166625
2020/05/18/12/14/47,0.3815535366696413
2020/05/18/12/14/47,0.370483231467988
2020/05/18/12/14/48,0.39168079679845547
2020/05/18/12/14/48,0.369158642636761
2020/05/18/12/14/49,0.4572212461499569
2020/05/18/12/14/49,0.4266607134003081
2020/05/18/12/14/50,0.41332029480438254
2020/05/18/12/14/51,0.37649083973239306
2020/05/18/12/14/51,0.4659433905945426
2020/05/18/12/15/19,0.5113225327752223
2020/05/18/12/15/19,0.5004422870773689
2020/05/18/12/15/20,0.4710694780619972
2020/05/18/12/15/20,0.4521440247674075
2020/05/18/12/15/21,0.4282994969658035
2020/05/18/12/15/21,0.4433081257261688
2020/05/18/12/15/22,0.4211246921207492
2020/05/18/12/15/22,0.4026643927164073
2020/05/18/12/15/23,0.4057826600398917
2020/05/18/12/15/23,0.4224775504827338
2020/05/18/12/15/24,0.4216561080189925
2020/05/18/12/15/24,0.397283013810319
2020/05/18/12/15/25,0.4031625250652927
2020/05/18/12/15/25,0.40850001216189935
2020/05/18/12/15/26,0.3856111826836485
2020/05/18/12/15/26,0.39612417418021134
2020/05/18/12/15/27,0.4115989736741844
